"date","ndvi","variance","pixel_count","sd","upper","lower"
2014-01-01,0.648653477651536,0.00441450731500444,6086,0.0664417588193181,0.715095236470854,0.582211718832218
2014-01-17,0.612285341812161,0.0054190577097563,6086,0.0736142493662491,0.68589959117841,0.538671092445912
2014-02-02,0.654912039423207,0.00556685482340189,6061,0.0746113585414573,0.729523397964665,0.58030068088175
2014-02-18,0.62554821513503,0.0155332046826306,6061,0.12463227785221,0.750180492987241,0.50091593728282
2014-03-06,0.656122283283432,0.00705275568273399,6061,0.0839806863673666,0.740102969650799,0.572141596916066
2014-03-22,0.597747282908659,0.0306676282634532,6061,0.175121752684963,0.772869035593622,0.422625530223696
2014-04-07,0.686725262169502,0.00285974850612682,6061,0.053476616442393,0.740201878611895,0.633248645727109
2014-04-23,0.679744680906158,0.00267615949524286,6061,0.0517316102131265,0.731476291119285,0.628013070693032
2014-05-09,0.653244379930796,0.00318088098888613,6061,0.0563992995425132,0.709643679473309,0.596845080388282
2014-05-25,0.635069442585729,0.00363230003481749,6061,0.0602685658931543,0.695338008478884,0.574800876692575
2014-06-10,0.613824136901884,0.00381002699316624,6061,0.0617254161036298,0.675549553005513,0.552098720798254
2014-06-26,0.566699415425039,0.00493769679158233,6061,0.0702687469048817,0.636968162329921,0.496430668520158
2014-07-12,0.540857679471123,0.00515648972093865,6061,0.0718087022646883,0.612666381735812,0.469048977206435
2014-07-28,0.519433581477307,0.00579529360739159,6061,0.0761268258066208,0.595560407283928,0.443306755670686
2014-08-13,0.475324763587501,0.00538563059889822,6061,0.0733868557638098,0.548711619351311,0.401937907823691
2014-08-29,0.459254713736115,0.00523901114106842,6061,0.0723810136780939,0.531635727414209,0.386873700058021
2014-09-14,0.465498310395065,0.00579229239857835,6061,0.0761071113535283,0.541605421748593,0.389391199041537
2014-09-30,0.483098494509942,0.00874201915817133,6061,0.0934987655435692,0.576597260053511,0.389599728966373
2014-10-16,0.50261962697317,0.00897676085352005,6061,0.0947457695811272,0.597365396554298,0.407873857392043
2014-11-01,0.571696046685552,0.0165724062738336,6086,0.128733858303997,0.700429904989549,0.442962188381555
2014-11-17,0.632381657534908,0.0130418136904406,6086,0.114200760463495,0.746582417998403,0.518180897071413
2014-12-03,0.643993348563581,0.0121434213965512,6034,0.110197193233545,0.754190541797126,0.533796155330037
2014-12-19,0.720026213408667,0.00506421951369487,6034,0.0711633298384419,0.791189543247109,0.648862883570225
2015-01-01,0.673275887357973,0.00710514672800525,6073,0.0842920324111672,0.75756791976914,0.588983854946806
2015-01-17,0.687524229164981,0.00637134644795575,6073,0.0798207144039425,0.767344943568923,0.607703514761039
2015-02-02,0.684811562333604,0.00623586533465569,6049,0.0789674954310676,0.763779057764672,0.605844066902536
2015-02-18,0.619097557923623,0.0277285225763117,6049,0.166518835500107,0.78561639342373,0.452578722423516
2015-03-06,0.639122411561511,0.013153132406008,6049,0.11468710653778,0.753809518099291,0.524435305023731
